"Id","Раздел","Инструкция","Приоритет","Уровень пользователя","Сложность","Процессы","Ссылки на инструкции","Ответственный","Квартал","План дата","Статус","Проверил","Формат","Содержание","Распространённые ошибки","Комментарии/Задачи","Путь к оригиналу","Путь к публикации (диск P)","Путь к публикации (URL)"
"17","АР","Настройка типоразмера панели витража","3","Продвинутый","Низкая","Моделирование витражей","","Попов А.М.","II 2025","","Проверка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка типоразмера панели витража\Настройка типоразмера панели витража.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка типоразмера панели витража.pdf","https://atom-bim.ru/Instruct/Revit/АР/Настройка_типоразмера_панели_витража.php"
"18","АР","Настройка типоразмера двери витража","3","Продвинутый","Низкая","Моделирование витражей","","Красильников Д.С.","II 2025","","План","","","","","","","",""
"19","АР","Настройка схемы разрезки витража","3","Продвинутый","Средняя","Моделирование витражей","","Попов А.М.","II 2025","","Проверка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка схемы разрезки витража\Настройка схемы разрезки витража.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка схемы разрезки витража.pdf","https://atom-bim.ru/Instruct/Revit/АР/Настройка_схемы_разрезки_витража.php"
"20","АР","Настройка типоразмера импоста витража","3","Продвинутый","Средняя","Моделирование витражей","","Попов А.М.","II 2025","","Проверка","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка типоразмера импоста витража\Настройка типоразмера импоста витража.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка типоразмера импоста витража.pdf","https://atom-bim.ru/Instruct/Revit/АР/Настройка_типоразмера_импоста_витража.php"
"21","АР","Построение ограждения на основе уровня","2","Продвинутый","Средняя","Моделирование ограждений, Моделирование лестниц","","Коновалов В.С.","I 2025","09.06.2025","Проверка","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Построение ограждения на основе уровня\Построение ограждения на основе уровня.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Построение ограждения на основе уровня,.mp4","https://rutube.ru/video/fab7fc0f14f356ba666d81913e969295/?r=plemwd"
"22","АР","Настройка типоразмера кровли","3","Продвинутый","Низкая","Моделирование кровли","","Попов А.М.","I 2025","28.03.2025","План","","","","","","","",""
"23","АР","Построение полов","3","Базовый","Низкая","Моделирование полов","Настройка типоразмера пола, Диспетчер отделки: настройка типоразмера пола","Красильников Д.С.","II 2025","","План","","","","","","","",""
"24","АР","Построение разуклонки пола","2","Базовый","Средняя","Моделирование полов","","Красильников Д.С.","II 2025","","План","","","","","","","",""
"25","АР","Построение полов плагином ""Построение отделки""","3","Продвинутый","Низкая","Моделирование полов","","Красильников Д.С.","II 2025","","План","","","","","","","",""
"26","АР","Настройка типоразмера витража","1","Продвинутый","Средняя","Моделирование витражей","Настройка типоразмера панели витража, Настройка типоразмера двери витража, Настройка типоразмера импоста витража","Красильников Д.С.","I 2025","15.05.2025","Проверка","Попов А.М.","Текст","Показан механизм настройки типоразмера витража. Описаны правила заполнения основных параметров","- Значение параметров Группа модели и Описание не соответствуют таблице идентификации; - Включена опция ""Автоматическое вложение""","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка типоразмера витража\Настройка типоразмера витража.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка типоразмера витража.pdf","https://atom-bim.ru/Instruct/Revit/АР/Создание_и_настройка_типоразмера_витража_v1.php"
"27","АР","Настройка типоразмера витражного проёма","1","Продвинутый","Высокая","Моделирование витражей","","Красильников Д.С.","I 2025","15.05.2025","Проверка","Попов А.М.","Текст","Рассмотрен механизм настройки типоразмера витражного проема. Описаны правила заполнения основных параметров. Показаны способы создания экземпляра проема и принципы работы с ним","- Неправильно выбраны семейства отлива, подоконника, порога, откосов; - При размещении экземпляра не выбрана опция ""Разместить на рабочей плоскости""; - Проем неправильно размещен относительно слоев стены; - Некорректно настроены толщины основы и отделки ","Здесь описана сразу вся работа: и с типоразмером, и с экземпляром, и правила размещения. Пока для проверки оставлю так, потом разделю на две-три отдельных части","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка типоразмера витражного проема\Настройка типоразмера витражного проема.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Настройка типоразмера витражного проема.pdf",""
"28","АР","Настройка типоразмера пола","3","Продвинутый","Средняя","Моделирование полов","Диспетчер отделки: настройка типоразмера пола","Красильников Д.С.","I 2025","15.05.2025","Проверка","Попов А.М.","Текст","Показан механизм копирования и создания типоразмера пола. Описаны правила заполнения основных параметров","- Настройки типоразмера не соответствуют утвержденному альбому технических решений; - Значение параметров Группа модели и Описание не соответствуют таблице идентификации; - Значение параметра _Состав не соответствует структуре слоев; - В структуре слоев настроены не все слои; - В структуре слоев у гидро- и пароизоляции задана некорректная функция и ненулевая толщина","В инструкции затронута работа со структурой слоев. Достаточно подробно расписано, как работать с материалами, назначать слои и т.д. Для проверки оставлю так, но в дальнейшем, возможно, это лучше разделить на отдельные инструкции. В планах у меня стоит инструкция по материалам, думаю, этот кусок перенесу туда","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка типоразмера пола\Настройка типоразмера пола.docx","",""
"29","АР","Диспетчер отделки: настройка типоразмера пола","1","Продвинутый","Низкая","Моделирование полов","Настройка типоразмера пола","Красильников Д.С.","I 2025","02.06.2025","Проверка","Попов А.М.","Видео","Показан механизм настройки типоразмеров полов плагином Диспетчер отделки. Рассмотрен функционал и основные правила работы. Описаны способы контроля правильности настроек типоразмеров","- Значение параметров Группа модели и Описание не соответствуют таблице идентификации; - В модели отсутствует часть необходимых элементов узлов; - В модели отсутствует легенда с именем Полы и размещенным типоразмером; - Текст в параметре _Состав не соответствует структуре слоев","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Диспетчер отделки - Настройка типоразмера пола\Диспетчер отделки: настройка типоразмера пола.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\00_Revit_Общие\Инструкция_Revit_Диспетчер отделки_Настройка типоразмера пола.mp4","https://rutube.ru/video/27e0f8f029861b7401f2b94bcebb7e55/?r=plemwd"
"30","АР","Настройка расчётной высоты уровня","1","Базовый","Средняя","Моделирование помещений","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Показан механизм работы расчётной высоты уровня. Приведён алгоритм определения расчётной высоты.","- Расчётная высота уровня попадает в объём пола этажа. - Расчётная высота уровня находится ниже перепадов плиты перерытия этажа.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Расчётная высота уровня\Расчётная высота уровня.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Настройка расчётной высоты уровня.pdf",""
"31","АР","Настройка высоты помещения","3","Базовый","Средняя","Моделирование помещений","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Рассмотрен механизм формирования объёма помещения. Описан алгоритм настройки высоты помещения.","- У помещения не указана привязка к уровню верхнего этажа. - Помещение не дотянуто до конструкций пола и потолка или плит перекрытия.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Настройка высоты помещения\Настройка высоты помещения.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Настройка высоты помещения.pdf",""
"32","АР","Установка высоты помещений плагином ""Вытягивание помещений""","3","Базовый","Средняя","Моделирование помещений","Настройка высоты помещения","Попов А.М.","I 2025","28.03.2025","План","","","","","","","",""
"33","АР","Проверка параметра Группа помещений","1","Продвинутый","Средняя","Проверка помещений","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Определены правила использования параметра _Группа помещений. Описан алгоритм проверки заполнения данного параметра.","- Параметр _Группа помещений заполнен у общедомовых или жилых помещениях. - Параметр _Номер группы помещений не заполен у помещений группы.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Проверка параметра Группа помещений\Проверка параметра Группа помещений.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Проверка параметра Группа помещений.pdf",""
"34","АР","Проверка принадлежности помещений квартирам","1","Продвинутый","Средняя","Проверка помещений","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Определены правила использования параметра _Номер квартиры. Описан алгоритм проверки заполнения данного параметра.","- Для помещений неправильно определена квартира.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Проверка принадлжености помещений квартирам\Проверка принадлжености помещений квартирам.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Проверка принадлежности помещений квартирам.pdf",""
"35","АР","Проверка наличия отделки помещений","1","Продвинутый","Средняя","Проверка помещений","","Попов А.М.","I 2025","28.03.2025","План","","","","","","","",""
"36","АР","Моделирование вентиляционных каналов","2","Базовый","Низкая","Моделирование вентиляционных каналов","","Коновалов В.С.","I 2025","09.06.2025","Проверка","Попов А.М.","Видео","Показан процесс размещения вентиляционного канала.","- У вентиляционного канала неверно указано смещение от уровней.","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование вентиляционных каналов\Моделирование вентиляционных каналов.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Размещение вентиляционных каналов.mp4","https://rutube.ru/video/26edfddf3bd463b64afa1c895a6137d7/?r=plemwd"
"37","АР","Работа с файлом примеров ограждений","3","Продвинутый","Низкая","Моделирование ограждений, Моделирование лестниц","","Коновалов В.С.","II 2025","","План","","","","","","","",""
"38","АР","Моделирование фасонных элементов по сложному контуру","3","Продвинутый","Высокая","Моделирование фасонных элементов","","Попов А.М.","IV 2024","","Готово","","","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование фасонных элементов по сложному контуру\Моделирование фасонных элементов по сложному контуру.mkv","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Построение фасонного элемента по сложному контуру.mkv","https://rutube.ru/video/c92674ae43bb3cf7d1a3a923ad1cdbe2/?r=plemwd"
"39","АР","Помещения","0","Базовый","Высокая","Моделирование помещений, Заполнение параметров помещений, Проверка помещений","","Попов А.М.","IV 2024","","Готово","","Текст","Рассмотрен процесс создания помещений, принцип определения границ помещений. Приведено описание всех параметров помещений.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Помещения\Помещения.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Помещения.pdf","https://atom-bim.ru/Instruct/Revit/АР/Инструкция_Revit_Помещения_v2.html"
"40","АР","Перемычки","0","Базовый","Высокая","Моделирование перемычек","","Калачев Д.А.","IV 2024","","Архив","","Текст","Настройка и размещение семейств перемычек","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Перемычки\Перемычки.docx","","https://atom-bim.ru/Instruct/Revit/АР/Инструкция_Revit_Перемычки_v3.php"
"41","АР","Экспликация полов","0","Продвинутый","Средняя","Оформление полов","","Красильников Д.С.","IV 2024","","Архив","","Текст","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Экспликация полов\Экспликация полов.docx","","https://atom-bim.ru/Instruct/Revit/АР/Инструкция_Revit_Экспликация_полов_v4.html"
"42","АР","Таблица идентификации АР","0","Базовый","Низкая","Совместная работа","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Таблица идентификации АР\Таблица идентификации АР.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Таблица идентификации АР.mp4","https://rutube.ru/video/3fb7bb375d5c7d25ee4585f0e43aa5f2/?r=plemwd"
"43","АР","Рабочие наборы АР","0","Базовый","Низкая","Совместная работа","","Красильников Д.С.","IV 2024","","Готово","","Видео","","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Рабочие наборы АР\Рабочие наборы АР.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Рабочие наборы АР.mp4","https://rutube.ru/video/73e939f46c0209e59257b06005d9fc94/?r=plemwd"
"44","АР","Определение размеров машино-мест","0","Продвинутый","Низкая","Моделирование помещений, Проверка помещений","","Попов А.М.","IV 2024","","Готово","","Видео","Описан алгоритм автоматического определения габаритных размеров машино-мест плагинами по работе с помещениями","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Определение габаритных размеров машино-мест\Определение габаритных размеров машино-мест.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Определение габаритных размеров машино-мест.mp4","https://rutube.ru/video/25b99c70870798bd492410c77bd63bce/?r=plemwd"
"45","АР","Моделирование дверей","0","Базовый","Средняя","Моделирование дверей","","Попов А.М.","IV 2024","","Готово","","Текст","Настройка и использование семейств дверей","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование дверей\Моделирование дверей.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Моделирование дверей.pdf","https://atom-bim.ru/Instruct/Revit/АР/Инструкция_Revit_Двери_v1.html"
"46","АР","Настройка типоразмера отделки стен","2","Продвинутый","Средняя","Моделирование отделки стен","","Попов А.М.","","","План","","","","","","","",""
"47","АР","Настройка типоразмера отделки стен плагином ""Диспетчер отделки""","2","Продвинутый","Низкая","Моделирование отделки стен","","Попов А.М.","","","План","","","","","","","",""
"48","АР","Построение отделки стен плагином ""Построение отделки""","2","Продвинутый","Низкая","Моделирование отделки стен","","Попов А.М.","","","План","","","","","","","",""
"49","АР","Построение плинтусов отделки стен плагином ""Построение отделки""","3","Продвинутый","Средняя","Моделирование отделки стен","","Попов А.М.","","","План","","","","","","","",""
"50","АР","Настройка типоразмера отделки потолка","3","Продвинутый","Средняя","Моделирование потолков","","Попов А.М.","","","План","","","","","","","",""
"51","АР","Построение отделки потолка","3","Продвинутый","Низкая","Моделирование потолков","","Попов А.М.","","","План","","","","","","","",""
"52","АР","Построение отделки потолка плагином ""Построение отделки""","3","Продвинутый","Низкая","Моделирование потолков","","Попов А.М.","","","План","","","","","","","",""
"53","АР","Построение потолочного плинтуса","3","Продвинутый","Средняя","Моделирование потолков","","Попов А.М.","","","План","","","","","","","",""
"54","АР","Построение потолочного плинтуса плагином ""Построение отделки""","3","Продвинутый","Средняя","Моделирование потолков","","Попов А.М.","","","План","","","","","","","",""
"55","АР","Настройка типоразмера фасонного элемента","3","Продвинутый","Средняя","Моделирование фасонных элементов","","Попов А.М.","","","План","","","","","","","",""
"56","АР","Моделирование фасонных элементов","3","Продвинутый","Низкая","Моделирование фасонных элементов","","Попов А.М.","","","План","","","","","","","",""
"57","АР","Соединение и подрезка фасонных элементов","1","Продвинутый","Высокая","Моделирование фасонных элементов","","Попов А.М.","","","План","","","","","","","",""
"58","КР","Заполнение и проверка параметра _Положение армирования","0","Базовый","Средняя","Проверка армирования","","Попов А.М.","II 2025","","План","","","","","","","",""
"59","АР","Настройка типоразмера окна","3","Базовый","Средняя","Моделирование окон","","Коновалов В.С.","II 2025","","План","","","","","","","",""
"60","АР","Моделирование окон","3","Базовый","Средняя","Моделирование окон","","Коновалов В.С.","II 2025","","План","","","","","","","",""
"61","АР","Настройка оконных откосов","3","Базовый","Средняя","Моделирование окон, Моделирование витражей","","Коновалов В.С.","II 2025","","План","","","","","","","",""
"62","АР","Настройка оконных отливов","3","Базовый","Средняя","Моделирование окон, Моделирование витражей","","Коновалов В.С.","II 2025","","План","","","","","","","",""
"63","АР","Настройка оконных подоконников","3","Базовый","Средняя","Моделирование окон, Моделирование витражей","","Коновалов В.С.","II 2025","","План","","","","","","","",""
"64","АР","Создание системной лестницы произвольной формы","2","Продвинутый","Высокая","Моделирование лестниц","","","","","План","","","","","","","",""
"65","АР","Распределение элементов типового этажа по группам","1","Продвинутый","Средняя","Формирование типового этажа","","","","","План","","","","","","","",""
"66","АР","Изменение элементов типового этажа","1","Продвинутый","Средняя","Формирование типового этажа","","","","","План","","","","","","","",""
"67","АР, КР","Настройка структуры многослойных конструкцйи","3","Продвинутый","Высокая","Моделирование кровли, Моделирование отделки стен, Моделирование потолков, Моделирование полов","","","","","План","","","","","","","",""
"68","АР, КР","Моделирование монолитных лестниц","2","Базовый","Средняя","Моделирование лестниц","","","","","План","","","","","","","",""
"69","АР","Моделирование отверстий вентиляционных каналов","2","Базовый","Средняя","Моделирование вентиляционных каналов","","Попов А.М.","I 2025","28.03.2025","Готово","","Текст","Рассмотрен процесс размещения отверстий вентиляционных каналов.","- Отверстия размещены не на рабочей плоскости уровня","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование отверстий вентиляционных каналов\Моделирование отверстий вентиляционных каналов.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Моделирование отверстий вентиляционных каналов.pdf","https://atom-bim.ru/Instruct/Revit/АР/Моделирование_отверстий_вентиляционных_каналов.php"
"70","АР","Оформление поперечного сечения вентиляционных каналов","2","Базовый","Средняя","Оформление вентиляционных каналов","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Рассмотрен процесс создания поперечных сечений вентиляционных каналов. Описана работа плагина ""Оформиление сечений вентиляционных каналов""","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Оформление сечений вентиляционных каналов\Оформление сечений вентиляционных каналов.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Оформление сечений вентиляционных каналов.pdf","https://atom-bim.ru/Instruct/Revit/АР/Оформление_сечений_вентиляционных_каналов.php"
"71","АР","Оформление вертикального разреза вентиляционных каналов","2","Базовый","Низкая","Оформление вентиляционных каналов","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Рассмотрен процесс создания и оформления вертикального разреза вентиляционных каналов.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Оформление вертикального разреза вентиляционных каналов\Оформление вертикального разреза вентиляционных каналов.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Оформление вертикального разреза вентиляционных каналов.pdf","https://atom-bim.ru/Instruct/Revit/АР/Оформление_вертикального_разреза_вентканалов.php"
"72","ВК","Оформление схем. Водоснабжение","2","Продвинутый","Средняя","Оформление схем  ВК (Схемы)","","Колпаков С.Д.","II 2025","","План","","Видео","","","","","",""
"73","ВК","Оформление схем. Канализация","2","Продвинутый","Средняя","Оформление схем  ВК (Схемы)","","Колпаков С.Д.","II 2025","","План","","Видео","","","","","",""
"74","ВК","Оформление схем. Пожаротушение","2","Продвинутый","Средняя","Оформление схем  ВК (Схемы)","","Колпаков С.Д.","II 2025","","План","","Видео","","","","","",""
"75","ВК","Настройка типоразмера ШПК","3","Базовый","Низкая","","","","","","План","","","","","","","",""
"76","ВК, ОВ","Моделирование трубопроводов","2","Базовый","Средняя","","","","","","План","","","","","","","",""
"77","ВК, ОВ","Трассировка трубопроводов","2","Продвинутый","Низкая","","","","","","План","","","","","","","",""
"78","ВК, ОВ","Трубопроводыне уклоны","2","Продвинутый","Низкая","","","","","","План","","","","","","","",""
"79","ВК, ОВ","Плагин: Тип системы","1","Базовый","Низкая","","","","","","План","","","","","","","",""
"80","ВК, ОВ","Плагин: Подбор изоляции","1","Продвинутый","Средняя","","","","","","План","","","","","","","",""
"81","ВК, ОВ","Плагин: расстановка отверстий","1","Продвинутый","Средняя","","","","","","План","","","","","","","",""
"82","ВК, ОВ","Плагин: диспетчер отверстий","1","Продвинутый","Средняя","","","","","","План","","","","","","","",""
"83","ВК, ОВ, ЭЛ","Плагин: Копирование элементов из связи","1","Базовый","Низкая","","","","","","План","","","","","","","",""
"84","ВК, ОВ, ЭЛ","Плагин: Инженерные зоны","1","Продвинутый","Средняя","","","","","","План","","","","","","","",""
"85","АР","Моделирование водостока","1","Базовый","Средняя","Моделирование водостока","","Попов А.М.","I 2025","28.03.2025","Проверка","","Текст","Рассмотрено применение всех семейств, используемых для моделирования водосток.","","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Моделирование водостока\Моделирование водостока.docx","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Инструкция_Revit_Моделирование водостока.pdf","https://atom-bim.ru/Instruct/Revit/АР/Моделирование_водостока.php"
"86","ЭЛ","Узлы герметизации кабельных проходок","0","Базовый","Низкая","Моделирование кабеленесущих систем","","Васьков Д.И.","I 2025","21.04.2025","План","","Текст","","","","","",""
"87","АР","Построение уклонов кровли","1","Продвинутый","Высокая","Моделирование кровли","","Попов А.М.","I 2025","28.03.2025","Готово","","Видео","Показан оптимальный алгоритм моделирования уклонов кровли и создания контруклонов.","- Контур исходного элемента кровли не прямогульник - Фактические линии-ребра изломов кровли скрыты на виде и заменены линиями аннотации - Линии исходного контура или линии разделения кровли не параллельны","","P:\03_БИБЛИОТЕКА\BIM_Оригиналы\_ИНСТРУКЦИИ\02_АР\Построение уклонов кровли\Построение уклонов кровли.mp4","P:\03_БИБЛИОТЕКА\Revit_0_Общая\Инструкции\01_Revit_АР\Построение уклонов кровли.mp4","https://rutube.ru/video/fec6637af7503557f15cb8f07eeeeda7/?r=plemwd"
"88","ВК","Оформление планов. Водоснабжение","1","Базовый","Низкая","Оформление планов ВК (Планы)","","Колпаков С.Д.","I 2025","","План","","Текст","","","","","",""
